label,tweet
happy,Setuju .... Apalagi bisa di buang ke tempat sampah sesuai dengan jenis nya.... Kayak sampah daur ulang dan sampah yg tidak bisa di daur ulang. #lifeatAPRIL [URL]
happy,"Tuhan tidak memberi kita hati dan mulut untuk mengeluh dan mengomel, malainkan Ia mengajari kita untuk Bersyukur melalui hati dan mulut kita. Selamat siang sahabatku."
anger,[USERNAME] Uang yang ada Dompet Saya sudah 2 bulan tidak Bisa di Carikan gara2 di Bekukan Semua pertanyaan Pihak Bukalapak soal penjualan yang bermasalah sudah jawab semua sampai bukti2 nya pun Semua saya kirim Tapi Sampai Sekarang Dompet saya masih di
sadness,Bergantung financial dg suami terkdg mmbuat saya berfikir jauh buat kedepan. Krn ga slmanya gw hdup sm dia.. Ga slmanya dia pnya duit.. Persiapan buat ank sekolah nnti krn pst biaya tmbh membengkak. Giliran pngn krja ga di ijinin.. Gw g ngrti kudu gmn klo kya gini
fear,"[USERNAME] Tp karena pengalamanku yg minim takut orang2 udah ga percaya duluan. Udah semester atas, trus pas oprec kan biasanya yg wawancara udah anak 2016, angkata bawah. Suka minder gt :( Waah ya udah sekalian mutualan yuu aku butuh positive people sep"
happy,dulu liat trailernya gw kagum. ide memadukan film laga nusantara dengan tampilan wild west terlihat menjanjikan. belum pernah gw tau sebelumnya. kreatif. makanya gw semacam berharap mendapatkan sajian yang istimewa.
love,"Feeling yang aku tak perna rase, like aku dapat jumpe soulmate aku like we got the same vibe, same feeling, eh gile la makin jatuh cinta je everyday. Kau tau the feeling kau tak perna bosan dgn org tu, tgok muke dia pun kau tak bosan, FUI TAPI SUMPAH SENYUMAN DIA"
sadness,kalau disaat-saat kaya gini rasanya gue kepingin banget tinggal di kampung ya allah :( di daerah gue udh ga ada adat istiadat sundanya huhu monangis
sadness,"Tapi kemaren hs emang benci banget, sekarang lagi kangen. Gegara masuk kamar ada poto dia Sebell Plesbek. Minggu nonton liat meme"
love,buat aku juga kan eh ada mas adi makasih :3 semangat ya buat kamu :
happy,"Yaa tdk apa2, konteks sy bkn bnr dn tdk bnr, tp inilah sbuah proses penyempurnaan terus mnerus hg sampai ke tuj bangsa yg diinginkn.. Makmur sejahtera.. Ol krn itu shrsnya kita smua sepakat dn konsen"
anger,"Serius, gw bingung sama maksud and tujuan orang2 yg suka ngelempar kereta dengan batu. Nyakitin orang lain kan kalo sampe kena kaca n pecah? Punya penyakit jiwa kali yak?"
happy,Titip salam buat masbro [USERNAME] kl shooting bawa bambu ya buat ganjel biar gk ngejoprak [USERNAME] #IniSahurTIKETCOMHariKe20
anger,Loe mau ngatain gw bencong apa lah terserah loe yg pasti gw gak merasa gw bencong loe lupa yg udah ngewe sama gw Giliran gw gak ngeladenin loe lagi loe bilang bencong Ehmmmm kasian bgt hidup loe 
happy,"serial komedi taun 2013, cuma 1 season. ceritanya mba2 yg masih muda nikah sama duda 3 anak, kadang malah dua mantan istrinya juga ngumpul di rumah. receh bgt asli"
sadness,"Allah yg paling tahu, mana yg paling ingin taubat dg diam dan sabar. Bukan dg teriak sambil ajak orang lain utk membenarkan dirinya yg paling benar"
love,"di setiap pandangan mata,genggaman tangan,pelukan hangat,ada definisi cinta bagi tiap pasangan,ada pemahaman yang berbeda,ada pengertian yang berbeda,mungkin kamu akan lebih banyak terluka,tapi itu tidak akan membuatmu berhenti mencari cinta. A Perfect Love"
sadness,"Apa bedanya dirimu yg selalu berdiam berlama, pergi jauh, dan mengabaikan saat permasalahan datang. Dengan pernyataan ku yg mengakhiri. #thinkifyouhavebrain"
happy,sore kak rica ^_^ sudah makan kan :d semangat terus ya kak :)
sadness,"Kita hanya sedang mengalami masa masa sulit, masa masa gelap, masa masa rentan akan perpisahan. Namun, jika kita mampu bertahan, maka tidak akan yg mampu memisahkan. (Except Allah)"
sadness,"Sebenernya gak pengen ikut-ikutan jadi panitia pemilu, tapi gimana yah ada duitnya sih. Lol Gak juga deng! Hmm lebih ke pengen ngerasain gimana jadi panitia pemilu gitu. Dan baru tau kabar soal kecurangan kotak suara itu benar adanya. Sungguhlah manusia2 ini"
love,Wah aku mimpi kali ya.../kedip berkali-kali karena kaget letakin lengan di meja sambil numpu dagu/ sayang kok ga bilang sih kamu bisa masak? Aigoo pacar aku keren 
sadness,"Ya Allah, hanya Engkau yang mengetahui rasa sakit di hati ini. Sembuhkanlah Ya Allah.."
happy,Bahagia kalau kamu datang tepat waktu Bahagia kalau AC bekerja dengan maksimal Bahagia kalau perka berjalan normal Selamat bekerja ya min [USERNAME]
sadness,omg parah bnr2 insom blm ngantuk2 mata gw msh seger aja pikiran lg kacau sih kyk.gini dah efek pikiran lg tegang n hawa suntuk kesel dari kmrn hiiiiks
love,10-07-2018 Tersenyum & Tertawa itulah sebuah tantangan bagi saya untuk bisa membuat kamu senyum &ketawa lepas. Memang sulit bagi saya untuk melakukan semua itu. Tetapi saya akan berusaha
anger,Vedevah Kartu Multi Trip malah jadi gajelas penggunaannya Ngapain gua isi saldo buat KMT kalo akhirnya Tap suruh beli kartu THB etttaaann
fear,"berharap dengan pindah rumah, dapat mengurangi trauma aim.. namun na'as aim malah dikeluarkan dr sekolah karena bagi sekolah aim dpt menjadi aib dan khawatir aim mjd pelaku pencabulan juga."
happy,[USERNAME] [USERNAME] PARAH KAN WONHEE KAN Cantik banget :
happy,"Mau Ngucapin Happy Birthday yg ke 24 buat Nursehah [USERNAME], semoga berkah umur, murah rezeki, sehat selalu, makin rajin ibadahnya &amp"
anger,"udah tau akun verified, netijen indo galak, udah deh si mamas habis dilahap netijen. menurutku speakup disini gmn cara kita mengadukan hal tsb kpd pihak yang lebih kuat. kalau anak2 ya ke ortu, guru, dsb gitu bkn cari massa buat nge-hate pelaku. apa bedanya sm main hakim sendiri?"
sadness,"Karena dialog ini, semalaman aku merenung, apa iya masih ada Tuhan? Kalaulah ada, apa iya masih ingat dengan janjiNya untuk membuat kiamat? Apa iya Tuhan peduli pada Indonesia? Apa iya Tuhan peduli padaku? Kukira tidak!"
fear,"Sebenernya bos yang suka nanya karyawannya ""udah punya pacar mbak?"" sampe detail itu tuh tujuannya apa ya? Deg degan w jawabnya, takut ngaruh ke kerjaan w. Dulu di kantor lama juga gitu bosnya ._____."
happy,"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]"
sadness,"Sebenernya badan ini kurang sehat dibawa makan susah, keringet dingin dari pagi tapi dibawa sehat untuk d'bawel apalagi ada acha. karna janji udh lama. Udh ke toilet 5x ditahan kalo gk ditahan bakal lebih, hmmm."
sadness,[USERNAME] [USERNAME] [USERNAME] Demokrasi kita memang lagi mundur saat ini krn kebebasan berekspresi terus menerus di pantau oleh penguasa.
anger,yaallah Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! aslii
happy,Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 bgt
love,"Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 dong"
anger,Wkwk gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. emosi jiwa. sih
happy,yah Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 plisss
anger,anjir Jangan main2 sama hati orang! Lo kira ini lucu? banget plisss
anger,okay ternyata emosi saya sekarang bnr2 balik lagi kaya dulu ya alah kenapa jadi begini lagi yang tidak-bisa control emosi >_<
fear,"anjir Setiap malam gw mimpi buruk, takut bgt kejadian nyata... bgt"
fear,"[USERNAME] jujur iya aku takut, soalnya aku takut keciduk pas naik/turun dari mobil di suatu tempat :))) om aku driver ojol takutnya beliau liat :)))"
love,"Semoga dengan tayangnya film #22menit ini menjadi perantara untuk selalu menebarkan benih-benih cinta, yang akan menumbuhkan persaudaraan diantara umat manusia. #AnsorMajuSatuBarisan [URL]"
happy,"Menyumbangkan Suara Untuk Lagu hellomellopoppunk , klo mas anang sih yes  #hellomellopoppunk #hellomello #poppunk #subang #recording @ Masterplan Recording Chamber [URL]"
anger,"[USERNAME] biasanya jam segini sinyal bagus... Nah ini tetap aka buruk, Sama kayak d siang hari.... Semakin hari Kualitas Sinyal Smkin kacauu"
anger,"wkwk Bangshaaat emg lo! Udah ngerebut, nyalahin pula! yaaa"
love,"Bucin, loving with my whole heart, cemburuan BAHAHAHA, suka protes, ngambekan (?), sukanya peluk peluk sama cium cium XOXO, kangenan banget lagi chat aja masih kangen. [URL]"
happy,Anjir dapet kejutan dari diaa! sweet bangeeet huhuhu 😍
sadness,anjir Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔
fear,"btw Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱"
happy,eh Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 please...
anger,Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! banget yaampun
anger,"Sabar yah sayang, ada waktunya orang orang itu dapat balasan. Ill make sure theyll get it. Dont hide ur smile, dont give me fake smile, everything gonna be okay [USERNAME] [URL]"
anger,anjir Jangan main2 sama hati orang! Lo kira ini lucu? please...
anger,eh Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! please...
anger,"BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA!"
love,"Wkwk cinta itu sabar, setia, dan tulus. gw belajar itu dari lo 🥺 parah"
love,"ciee Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. yaaa dong"
anger,BTW JANGAN MAIN2 SAMA HATI ORANG! LO KIRA INI LUCU? ASLII
sadness,"Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. kek gitu 😭"
fear,"yah Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. banget please..."
sadness,Gak tau kenapa akhir2 ini ngerasa kosong aja... lohh dong
love,"Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. kek gitu dong"
anger,"btw Bangshaaat emg lo! Udah ngerebut, nyalahin pula! anjirrr"
happy,"HARI INI CERAH BGT, JALAN-JALAN BARENG BESTIE TUH EMG THERAPY TERBAIK 💖 SIH"
sadness,"Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. kek gitu dong"
sadness,"Gw pikir dia serius, ternyata cuma mainin perasaan. Hancur. yaaa dong"
sadness,Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 parah plisss
happy,anjir Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 😭
anger,wkwk Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. aslii yaampun
anger,YAH ORANG KAYAK LO TUH BENER2 GAK ADA OTAKNYA! BIKIN NAIK DARAH! YAAA PLEASE...
anger,Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. parah 😭
love,"Dicintai adalah rezeki. Dicintai orang yang kita cintai adalah rezeki terindah. Sedikit merasa cinta dari insan, itupun sudah cukup membahagiakan. Pastinya amat besar kan cinta pencipta insan."
love,NUNGGUIN CHAT DARI KAMU AJA UDAH BIKIN DEG-DEGAN HEHE 😚 YAAA DONG
happy,Yah baru aja nonton konser idolaa! wahh senengnya ampe jingkrak jingkrak 🤩 plisss
happy,"LIAT SUNSET DI PANTAI SAMBIL MINUM ES KELAPA, HIDUP EMG INDAH BGT 😎 YAAMPUN"
sadness,ciee Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 parah yaampun
happy,yah Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 lohh
sadness,"Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. kek gitu anjirrr"
fear,"#KKNLYFE DAY 02 Paginya leyeh-leyeh, pas air galonnya abis, jadi panik. Kudu isi ulang galon naik turun gunung dengan jalan yang Subhannallah, dan waktu tempuh sekitar 1jam pulang pergi. Ampir jatoh ke jurang gegara tanjakan ngeri dan jalannya rusak."
happy,"eh Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 banget yaampun"
happy,ciee Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 aslii
love,"Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 anjirrr"
anger,Gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 parah
love,"90. Tanggapanku. Aku cinta kamu apa adanya /eak Apa ya. Aku mengerti setiap sisi dirimu, krn kitakan kembaran..aku ngerti klo kamu orangnya perhitungan, organized , kita sama2 ga mikirin penampilam dan pasangan, tp disisi lain jg perfectionist. Ya pokoknya i feel you"
love,"Kamu memang dingin. Tapi kamu perhatian. Kamu keras. Denganmu, aku diajarkan caranya jadi wanita yang tidak manja. Tetap tangguh. Ah sayang :)"
love,"sekarang baru ku mengerti teka teki mu kalimat indah tak pernah ku sadari, tulismu ku tak menyangka jatuh cinta semudah ini... kepada sahabat baru ku..~~"
happy,EH BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩
sadness,hati kecil ini selalu berkata jujur. dan selalu membuat penyesalan setelah apa yang dilakukan itu salah. selalau mengingat bagai mana cara keluar dari zona yang kelam menuju kebenaran. hidup ituh pilihan ! berlaku baik atau pudar ketulusan.
anger,krn jujur ga lg2 dihina remehin hina sodaraw dari pihak mama gw..ada sepupu setan dengkii smua si lina gw sumpahin segera mampus sok kaya belagu merasa kaya bgt kali norak ga lama lg kebongkar dia tipu2annya mau liatin aja bakal seterusnya sukses dia ahahhah najisin tuh sepupu
love,"Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. yaaa"
fear,"Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. 😭"
happy,"(1) #Ramadan hai tweeps, lewat sini aku pengen cerita nih yah tentang ramadan yang penuh berkah. Ini kali pertama aku ramadan dengan situasi seperti ini dan sangat berkesan utk aku pribadi Sehari sebelum ramadan aku diajak jadi penyiar di studio Yayasan Masy Muslim Freeport Indo"
happy,Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 kek gitu dong
happy,"Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 lohh"
happy,WKWK BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩 SIH
happy,Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 parah bgttt
fear,"Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 banget anjirrr"
anger,"eh Bangshaaat emg lo! Udah ngerebut, nyalahin pula! aslii"
sadness,Iya tau ko paham juga yang namanya perpisahan itu ga enak .. Tapi tergantung bagaimana kita menyikapinya .. Dan ga harus membenci .. apalagi sama mereka yg ga salah apa.. cukuplah dengan sikap kenakan seperti itu. Lagi.
happy,"wkwk Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 sih"
love,"Cinta yang baik juga harus bisa membuatmu menjadi lebih baik dari sebelumnya. Bila cintamu membuat hidupmu lebih buruk, maka jangan takut untuk melepaskannya pergi."
fear,ciee Takut kehilangan orang2 yang gw sayang. Dunia ini gak pasti... yaaa
happy,yah Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 bgttt
anger,Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 bgt plisss
happy,btw Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 aslii 😭
anger,"[USERNAME] [USERNAME] Katanya Bapak Reformasi dan Demokrasi di Negeri kita ini, tapi kenyataannya sebaliknya tidak mau mengakui kelebihan seseorang. Pemimpin macam apa itu, tidak ada yang bisa diambil contoh dari nya. Kami sebagai generasi muda menolak"
happy,Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 yaaa deh
fear,"EH RASANYA KAYAK DIAWASI TERUS, SEREM BGT PADAHAL SENDIRI DI RUMAH 😱 PARAH"
anger,anjir Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 kek gitu
sadness,KANGEN RUMAH TAPI HARUS KUAT NGEJAR CITA2. SEDIHH 😢
fear,"LIAT BERITA KRIMINAL TIAP HARI, BIKIN PARNOAN KEMANA2. LOHH"
anger,yaallah Jangan main2 sama hati orang! Lo kira ini lucu? kek gitu
fear,"Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. parah deh"
sadness,ciee Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 bgttt
happy,"CIEE HARI INI CERAH BGT, JALAN-JALAN BARENG BESTIE TUH EMG THERAPY TERBAIK 💖 BANGET"
anger,"Masih di spam nihh sama Indosat [USERNAME] , padahal ku sudah melakukan segala nasehat yg dianjurkan mimin2 yg membalas twit sambatku ini Terhitung sudah 20 sms sejak jam 11 tadi. Pacarku aja ga posesif gini lhoo"
happy,btw Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 parah
anger,"Bangshaaat emg lo! udah ngerebut, nyalahin pula! sih"
sadness,Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 sih sumpah
sadness,"CIEE AIR MATA INI JATUH TANPA BISA DITAHAN, SAKITNYA TUH DI HATI BUKAN DI BADAN. PLEASE..."
love,LIAT GINI DOANG MASA AQ DEG2AN TERUS TIBATIBA BAHAGIA GITU. APAGGA INI YG DINAMAKAN CINTA? :') cr: i stole this from someone :v
anger,btw Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. sumpah
fear,"Tidak disemua tempat kita boleh melaksanakan sholat, salah satunya di bangunan yang didirikan untuk kekafiran (salah satunya gereja). Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk."
happy,"Yaallah liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 aslii"
happy,Yaallah baru aja nonton konser idolaa! wahh senengnya ampe jingkrak jingkrak 🤩 sih
sadness,ciee Gak tau kenapa akhir2 ini ngerasa kosong aja... anjirrr
anger,yaallah Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 aslii
happy,YAH DAPET KEJUTAN DARI DIAA! SWEET BANGEEET HUHUHU 😍 SIH
fear,"yaallah Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 dong"
anger,yaallah Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 bgttt
fear,"wkwk Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 bgttt"
happy,"eh Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 aslii bgttt"
anger,"Kantor pusat ni gimana, pake mendata medsos kantor vertikal di bawahnya dan nyuruh follow akun medsos kanpus. Padahal di jam kerja aja kami gak bisa akses medsos via jaringan kantor. Disuruhnya buat akun medsos (fb, ig, yutub, twitter) kantor kalo blm ada."
fear,CIEE TAKUT KEHILANGAN ORANG2 YANG GW SAYANG. DUNIA INI GAK PASTI...
love,"anjir Setiap detik mikirin kamu, pengen terus ada di sampingmu. banget"
happy,"Yah liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 parah"
love,"eh Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 kek gitu dong"
anger,Eh gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 yaaa deh
sadness,"anjir Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. bgttt"
happy,anjir Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 banget plisss
love,yah Nungguin chat dari kamu aja udah bikin deg-degan hehe 😚 yaaa
anger,Eh jangan main2 sama hati orang! lo kira ini lucu?
sadness,Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 kek gitu anjirrr
fear,"eh Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 please..."
happy,"LIAT SUNSET DI PANTAI SAMBIL MINUM ES KELAPA, HIDUP EMG INDAH BGT 😎 KEK GITU"
sadness,"Kebodohan di bulan Ramadhan: jumat kemaren kejar2an waktu ganti2 bioskop demi film ini, ternyata masih kamingsun. what a smart smart day. [URL]"
happy,"Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 sih deh"
happy,anjir Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 bgt
anger,Ya kalau hanya cukup dengan minta maaf untuk apa ada polisi dan jaksa??? Dan kalau dibiarkan tidak akn ada efek jera dan pelajaran untuk lainnya
anger,"ciee Bangshaaat emg lo! Udah ngerebut, nyalahin pula! banget"
sadness,yaallah Gak tau kenapa akhir2 ini ngerasa kosong aja...
love,"anjir Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. aslii"
anger,ANJIR JANGAN MAIN2 SAMA HATI ORANG! LO KIRA INI LUCU? YAAA PLEASE...
anger,ciee Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 😭
happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.
happy,"[USERNAME] [USERNAME] Kemarin Senin 4Juni ikut Acara Sosialisasi yg diselenggarakan di Kediri, terimakasih dpt kesempatan ikut. [URL]"
happy,Baru aja nonton konser idolaa! wahh senengnya ampe jingkrak jingkrak 🤩 kek gitu
anger,"BTW BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA! LOHH"
fear,"Ngasih tehaer ke keponakan. Baju dua biji celana sebiji koko sestel sama jaket sebiji udah lebih setengah juta. Pesan: kalo lo belum sanggup secara finansial, pikirin lagi punya anaknya."
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 kek gitu"
anger,Orang kayak lo tuh bener2 gak ada otaknya! bikin naik darah! aslii yaampun
sadness,"Tadi pagi nonton infotainment sebelom brkt gawe kris hatta : "" saya aja yang ganteng ditinggalin ama hilda, apalagi bang billy yang gak ganteng...."" gw : ""Astagfirullah..."" *ngelus dada*"
anger,Woww tuduhan lagi Rujukan nya please siapa yg bilang mas ?
happy,"Congratulations on your 1st Holly Communion, Xellent. Mommy,Papa, Ompung,Unty, Tulang, Bou, Uda &amp"
anger,EH GW CAPE-CAPE NGERJAIN EH MALAH DIBILANG GAK NGAPA-NGAPAIN. EMOSI JIWA. YAAMPUN
anger,"BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA! ANJIRRR"
anger,anjir Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. plisss
fear,"btw Liat berita kriminal tiap hari, bikin parnoan kemana2. aslii deh"
love,"eh Setiap detik mikirin kamu, pengen terus ada di sampingmu. lohh"
anger,GILA LO YA! UDAH DIBILANG JANGAN TRUS DIULANGIN LAGI. KESEL BGT 😤 SIH DEH
happy,Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 yaaa please...
anger,Gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 deh
love,"Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 lohh"
sadness,Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 dong
sadness,wkwk Gak tau kenapa akhir2 ini ngerasa kosong aja... banget
sadness,eh Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 kek gitu
happy,"ciee Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 bgttt"
sadness,Gak tau kenapa akhir2 ini ngerasa kosong aja... yaaa dong
anger,GW CAPE-CAPE NGERJAIN EH MALAH DIBILANG GAK NGAPA-NGAPAIN. EMOSI JIWA. SIH
anger,Wah ini....siapapun presidennya kalau membiarkan kelompok pembangkang Pancasila dan NKRI hidup di republik ini akan kami lawan. [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
fear,"yah Setiap malam gw mimpi buruk, takut bgt kejadian nyata... kek gitu"
anger,yaallah Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. kek gitu
anger,Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 lohh plisss
happy,"LIAT SUNSET DI PANTAI SAMBIL MINUM ES KELAPA, HIDUP EMG INDAH BGT 😎 😭"
sadness,anjir Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 bgttt
happy,Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 sih plisss
happy,"Wkwk hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 sih"
anger,btw Jangan main2 sama hati orang! Lo kira ini lucu? sumpah
